price,area,rooms,built,type,town,zip,centre_km,sold,quarter,date,lat,lon
7995000,222,5,2012,villa,Højbjerg,8270,5.7,2021,2021Q1,2021-01-01,56.107,10.186
4190000,191,5,2009,villa,Lystrup,8520,9.2,2021,2021Q1,2021-01-01,56.239,10.193
3000000,171,5,1980,villa,Egå,8250,6.6,2021,2021Q1,2021-01-01,56.207,10.267
1500000,160,5,2021,villa,Malling,8340,14.8,2021,2021Q1,2021-01-03,56.024,10.185
2200000,84,4,1981,townhouse,Aarhus V,8210,3.6,2021,2021Q1,2021-01-03,56.171,10.158
6495000,261,8,1975,villa,Egå,8250,8.1,2021,2021Q1,2021-01-03,56.216,10.285
3660000,126,4,2016,townhouse,Egå,8250,6.4,2021,2021Q1,2021-01-04,56.207,10.261
6700000,153,6,1961,villa,Højbjerg,8270,4.7,2021,2021Q1,2021-01-04,56.115,10.216
4870000,157,6,1954,villa,Aarhus V,8210,3.1,2021,2021Q1,2021-01-05,56.171,10.167
4950000,121,5,1906,villa,Viby J,8260,3.0,2021,2021Q1,2021-01-05,56.139,10.175
4498000,100,3,1920,townhouse,Aarhus C,8000,0.5,2021,2021Q1,2021-01-05,56.159,10.205
3350000,180,5,1973,villa,Brabrand,8220,7.8,2021,2021Q1,2021-01-05,56.153,10.084
2225000,82,4,1982,townhouse,Viby J,8260,5.9,2021,2021Q1,2021-01-05,56.126,10.133
3740000,170,6,1970,villa,Lystrup,8520,9.0,2021,2021Q1,2021-01-05,56.236,10.243
3795000,169,6,1972,villa,Mårslet,8320,7.3,2021,2021Q1,2021-01-05,56.092,10.192
4425000,114,5,1939,villa,Risskov,8240,3.2,2021,2021Q1,2021-01-05,56.185,10.217
3165000,145,5,1975,villa,Tilst,8381,7.1,2021,2021Q1,2021-01-06,56.176,10.101
7998000,178,5,2020,townhouse,Aarhus C,8000,1.0,2021,2021Q1,2021-01-06,56.159,10.195
6075000,214,6,2022,villa,Højbjerg,8270,4.0,2021,2021Q1,2021-01-06,56.122,10.198
850000,170,4,2022,villa,Sabro,8471,16.5,2021,2021Q1,2021-01-06,56.225,9.973
4650000,140,4,1964,villa,Risskov,8240,6.3,2021,2021Q1,2021-01-06,56.202,10.272
4300000,191,6,1995,villa,Mårslet,8320,10.0,2021,2021Q1,2021-01-07,56.07,10.17
2075000,100,4,1915,villa,Malling,8340,13.0,2021,2021Q1,2021-01-07,56.04,10.194
2350000,100,4,1971,villa,Mårslet,8320,10.2,2021,2021Q1,2021-01-07,56.069,10.159
4815000,119,5,1951,townhouse,Risskov,8240,4.0,2021,2021Q1,2021-01-07,56.191,10.229
3500000,145,5,1910,villa,Viby J,8260,2.9,2021,2021Q1,2021-01-07,56.139,10.176
2500000,93,3,1948,villa,Aarhus V,8210,2.7,2021,2021Q1,2021-01-07,56.174,10.179
2800000,109,4,1979,townhouse,Højbjerg,8270,4.9,2021,2021Q1,2021-01-08,56.114,10.19
2695000,164,5,1977,villa,Trige,8380,11.4,2021,2021Q1,2021-01-08,56.25,10.133
4475000,220,8,1997,villa,Lystrup,8520,9.5,2021,2021Q1,2021-01-09,56.241,10.236
2425000,138,5,1950,villa,Malling,8340,13.6,2021,2021Q1,2021-01-09,56.04,10.145
2050000,85,4,1973,townhouse,Tranbjerg J,8310,9.7,2021,2021Q1,2021-01-09,56.087,10.117
750000,161,5,2022,villa,Sabro,8471,16.4,2021,2021Q1,2021-01-09,56.224,9.976
2090000,173,5,2022,villa,Tilst,8381,7.3,2021,2021Q1,2021-01-09,56.186,10.104
4075000,114,4,1962,townhouse,Åbyhøj,8230,3.9,2021,2021Q1,2021-01-10,56.151,10.149
4175000,181,4,1973,villa,Beder,8330,10.3,2021,2021Q1,2021-01-10,56.064,10.219
4500000,145,6,1887,townhouse,Aarhus C,8000,1.2,2021,2021Q1,2021-01-10,56.147,10.202
890000,103,3,1930,villa,Brabrand,8220,4.2,2021,2021Q1,2021-01-10,56.147,10.146
3698000,138,4,1986,townhouse,Aarhus N,8200,3.9,2021,2021Q1,2021-01-10,56.19,10.192
3098000,86,3,1948,villa,Aarhus V,8210,3.1,2021,2021Q1,2021-01-10,56.177,10.176
2885000,168,5,1973,villa,Tilst,8381,7.2,2021,2021Q1,2021-01-10,56.178,10.102
3000000,132,4,1956,villa,Brabrand,8220,4.5,2021,2021Q1,2021-01-10,56.154,10.139
2125000,103,3,2016,townhouse,Mårslet,8320,9.5,2021,2021Q1,2021-01-11,56.075,10.165
2845000,106,3,2019,townhouse,Brabrand,8220,6.9,2021,2021Q1,2021-01-11,56.156,10.099
1995000,72,3,1970,townhouse,Tranbjerg J,8310,9.6,2021,2021Q1,2021-01-11,56.085,10.125
1550000,233,4,2022,villa,Malling,8340,14.7,2021,2021Q1,2021-01-11,56.025,10.186
3998000,170,5,2015,villa,Malling,8340,12.5,2021,2021Q1,2021-01-11,56.045,10.192
730000,172,5,2021,villa,Sabro,8471,16.3,2021,2021Q1,2021-01-11,56.224,9.976
5475000,150,5,1999,villa,Højbjerg,8270,5.6,2021,2021Q1,2021-01-11,56.108,10.185
3523000,146,5,1973,villa,Beder,8330,10.3,2021,2021Q1,2021-01-11,56.064,10.218
2265000,96,3,1984,townhouse,Tilst,8381,7.2,2021,2021Q1,2021-01-11,56.193,10.114
3700000,112,4,1931,villa,Viby J,8260,3.4,2021,2021Q1,2021-01-11,56.134,10.175
2400000,132,5,1967,villa,Tilst,8381,7.4,2021,2021Q1,2021-01-11,56.185,10.102
4500000,157,6,1957,villa,Risskov,8240,5.3,2021,2021Q1,2021-01-11,56.201,10.241
1150000,168,5,2021,villa,Trige,8380,11.4,2021,2021Q1,2021-01-11,56.253,10.152
2225000,110,5,1957,villa,Viby J,8260,6.4,2021,2021Q1,2021-01-12,56.128,10.121
5295000,169,6,2017,villa,Egå,8250,11.4,2021,2021Q1,2021-01-12,56.235,10.33
6175000,192,5,1960,villa,Brabrand,8220,6.3,2021,2021Q1,2021-01-12,56.155,10.11
3195000,120,4,1995,villa,Tranbjerg J,8310,9.2,2021,2021Q1,2021-01-12,56.085,10.136
5595000,139,5,1972,townhouse,Risskov,8240,3.2,2021,2021Q1,2021-01-12,56.183,10.23
2450000,175,5,2022,villa,Egå,8250,11.3,2021,2021Q1,2021-01-12,56.235,10.327
2500000,117,4,1936,villa,Harlev J,8462,12.6,2021,2021Q1,2021-01-12,56.152,10.008
3999000,186,7,1984,villa,Tranbjerg J,8310,8.6,2021,2021Q1,2021-01-13,56.095,10.128
7400000,194,7,1961,villa,Risskov,8240,6.5,2021,2021Q1,2021-01-13,56.201,10.278
2719867,126,4,2021,townhouse,Solbjerg,8355,14.2,2021,2021Q1,2021-01-13,56.048,10.091
5598000,175,4,1961,villa,Højbjerg,8270,5.8,2021,2021Q1,2021-01-13,56.105,10.204
949000,140,4,2021,villa,Hjortshøj,8530,15.0,2021,2021Q1,2021-01-13,56.292,10.212
4350000,122,5,1939,villa,Åbyhøj,8230,3.6,2021,2021Q1,2021-01-13,56.153,10.154
1730000,76,3,1978,townhouse,Lystrup,8520,9.4,2021,2021Q1,2021-01-13,56.241,10.228
2643500,121,4,1972,villa,Tranbjerg J,8310,9.3,2021,2021Q1,2021-01-13,56.09,10.119
7200000,195,5,1986,villa,Risskov,8240,4.4,2021,2021Q1,2021-01-14,56.192,10.242
2198000,95,4,1975,townhouse,Tilst,8381,6.9,2021,2021Q1,2021-01-14,56.174,10.104
3350000,215,5,1997,villa,Solbjerg,8355,15.3,2021,2021Q1,2021-01-14,56.034,10.098
10000000,234,6,1989,villa,Risskov,8240,5.5,2021,2021Q1,2021-01-14,56.198,10.26
3310000,168,4,2023,villa,Egå,8250,11.8,2021,2021Q1,2021-01-14,56.239,10.332
5400000,128,4,1923,villa,Åbyhøj,8230,3.7,2021,2021Q1,2021-01-14,56.154,10.152
3998000,107,5,1907,villa,Viby J,8260,4.4,2021,2021Q1,2021-01-14,56.125,10.17
3800000,140,6,1964,villa,Risskov,8240,4.9,2021,2021Q1,2021-01-14,56.2,10.227
2450000,231,8,1870,villa,Malling,8340,13.2,2021,2021Q1,2021-01-14,56.038,10.19
2500000,120,4,1969,villa,Hasselager,8361,8.9,2021,2021Q1,2021-01-14,56.11,10.095
3160000,183,6,1969,villa,Tilst,8381,8.4,2021,2021Q1,2021-01-15,56.193,10.092
2675000,105,3,2007,townhouse,Mårslet,8320,11.2,2021,2021Q1,2021-01-15,56.06,10.161
7495000,186,6,1973,villa,Højbjerg,8270,6.0,2021,2021Q1,2021-01-15,56.104,10.222
5798000,231,5,2016,villa,Skødstrup,8541,13.9,2021,2021Q1,2021-01-16,56.268,10.312
4999000,190,5,2018,villa,Skødstrup,8541,14.6,2021,2021Q1,2021-01-16,56.273,10.32
9800000,226,5,1979,villa,Risskov,8240,5.4,2021,2021Q1,2021-01-17,56.198,10.258
5998000,160,6,1972,villa,Risskov,8240,5.0,2021,2021Q1,2021-01-17,56.198,10.241
4225000,148,6,2020,townhouse,Risskov,8240,4.4,2021,2021Q1,2021-01-17,56.196,10.207
4275000,216,6,1976,villa,Egå,8250,10.1,2021,2021Q1,2021-01-17,56.233,10.299
2855000,158,6,1980,villa,Sabro,8471,12.6,2021,2021Q1,2021-01-17,56.211,10.032
2801000,96,4,1999,townhouse,Lystrup,8520,9.5,2021,2021Q1,2021-01-18,56.24,10.247
2595000,119,4,1970,townhouse,Tranbjerg J,8310,8.2,2021,2021Q1,2021-01-18,56.092,10.146
2395000,82,4,1983,townhouse,Højbjerg,8270,5.2,2021,2021Q1,2021-01-18,56.115,10.17
4400000,167,5,2008,villa,Brabrand,8220,7.6,2021,2021Q1,2021-01-18,56.162,10.088
9995000,201,7,1929,villa,Risskov,8240,4.3,2021,2021Q1,2021-01-18,56.191,10.241
2725000,113,5,1975,townhouse,Hasselager,8361,10.2,2021,2021Q1,2021-01-18,56.107,10.073
1640000,76,3,1920,townhouse,Egå,8250,7.6,2021,2021Q1,2021-01-18,56.218,10.266
2550000,111,4,1968,villa,Mårslet,8320,10.7,2021,2021Q1,2021-01-18,56.066,10.155
3750000,126,4,1972,townhouse,Risskov,8240,5.1,2021,2021Q1,2021-01-19,56.202,10.22
4780000,170,7,2015,villa,Mårslet,8320,9.1,2021,2021Q1,2021-01-19,56.084,10.145
3825000,120,4,2017,townhouse,Egå,8250,9.4,2021,2021Q1,2021-01-19,56.232,10.281
3612000,124,5,1910,villa,Viby J,8260,3.0,2021,2021Q1,2021-01-19,56.138,10.175
2645000,138,7,1927,villa,Brabrand,8220,6.9,2021,2021Q1,2021-01-19,56.154,10.1
4975000,199,5,2017,villa,Tranbjerg J,8310,10.0,2021,2021Q1,2021-01-19,56.082,10.121
2650000,130,4,2014,townhouse,Malling,8340,14.2,2021,2021Q1,2021-01-19,56.03,10.186
2750000,137,5,2016,townhouse,Skødstrup,8541,13.3,2021,2021Q1,2021-01-19,56.265,10.302
9300000,178,6,2007,villa,Egå,8250,6.7,2021,2021Q1,2021-01-19,56.204,10.278
8425000,185,4,1961,villa,Risskov,8240,5.1,2021,2021Q1,2021-01-19,56.195,10.255
3710000,113,3,1914,villa,Viby J,8260,4.5,2021,2021Q1,2021-01-19,56.125,10.166
7425000,200,6,1964,villa,Beder,8330,9.4,2021,2021Q1,2021-01-19,56.072,10.224
3900000,139,5,1972,townhouse,Egå,8250,7.2,2021,2021Q1,2021-01-19,56.209,10.279
5020000,155,5,1998,villa,Aarhus N,8200,5.0,2021,2021Q1,2021-01-19,56.2,10.19
5835000,172,6,2000,villa,Risskov,8240,5.7,2021,2021Q1,2021-01-19,56.208,10.208
9500000,241,4,2001,villa,Malling,8340,13.8,2021,2021Q1,2021-01-19,56.033,10.215
4025000,122,4,1983,villa,Aarhus N,8200,2.7,2021,2021Q1,2021-01-19,56.176,10.185
4500000,155,5,2011,villa,Viby J,8260,7.2,2021,2021Q1,2021-01-20,56.126,10.109
6498000,184,6,1908,townhouse,Brabrand,8220,7.9,2021,2021Q1,2021-01-20,56.148,10.084
2685208,126,4,2022,townhouse,Solbjerg,8355,14.3,2021,2021Q1,2021-01-20,56.047,10.089
2900000,139,4,2018,villa,Malling,8340,14.4,2021,2021Q1,2021-01-20,56.028,10.191
2655056,126,4,2022,townhouse,Solbjerg,8355,14.3,2021,2021Q1,2021-01-20,56.047,10.089
4700000,283,5,1954,villa,Malling,8340,12.8,2021,2021Q1,2021-01-20,56.042,10.194
2250000,85,4,1972,townhouse,Tranbjerg J,8310,9.1,2021,2021Q1,2021-01-20,56.09,10.124
4675000,200,8,1923,villa,Viby J,8260,4.5,2021,2021Q1,2021-01-20,56.126,10.162
2595000,117,5,1968,villa,Egå,8250,8.1,2021,2021Q1,2021-01-20,56.217,10.283
3630000,101,4,1984,villa,Viby J,8260,3.0,2021,2021Q1,2021-01-20,56.137,10.178
6795000,205,6,1970,villa,Egå,8250,8.7,2021,2021Q1,2021-01-20,56.219,10.296
11500000,214,7,1935,villa,Risskov,8240,4.0,2021,2021Q1,2021-01-20,56.188,10.241
5125000,176,5,2018,villa,Skødstrup,8541,13.4,2021,2021Q1,2021-01-21,56.262,10.314
3500000,188,7,1956,villa,Risskov,8240,5.5,2021,2021Q1,2021-01-21,56.201,10.248
5300000,232,6,1930,villa,Risskov,8240,6.1,2021,2021Q1,2021-01-21,56.202,10.265
12000000,287,6,2022,villa,Risskov,8240,5.4,2021,2021Q1,2021-01-21,56.196,10.26
1860000,144,4,1957,villa,Trige,8380,15.9,2021,2021Q1,2021-01-21,56.295,10.146
3798000,114,4,2008,townhouse,Risskov,8240,4.9,2021,2021Q1,2021-01-21,56.2,10.211
2730000,138,5,1979,villa,Sabro,8471,12.7,2021,2021Q1,2021-01-21,56.211,10.03
5670000,215,7,1971,villa,Risskov,8240,5.8,2021,2021Q1,2021-01-21,56.203,10.255
2275000,112,4,1972,villa,Tranbjerg J,8310,9.5,2021,2021Q1,2021-01-21,56.087,10.123
2250000,152,5,2022,villa,Viby J,8260,4.6,2021,2021Q1,2021-01-21,56.124,10.165
3498000,199,4,1975,villa,Egå,8250,11.0,2021,2021Q1,2021-01-22,56.233,10.325
3430000,60,2,1882,townhouse,Aarhus C,8000,0.6,2021,2021Q1,2021-01-22,56.16,10.203
4371000,110,4,1957,townhouse,Risskov,8240,3.9,2021,2021Q1,2021-01-22,56.191,10.22
3245000,111,4,1987,townhouse,Risskov,8240,5.2,2021,2021Q1,2021-01-22,56.204,10.207
2662500,117,4,1981,townhouse,Aarhus V,8210,4.8,2021,2021Q1,2021-01-23,56.175,10.14
3550000,167,6,1983,villa,Tilst,8381,8.3,2021,2021Q1,2021-01-24,56.193,10.094
2400000,137,5,2000,villa,Hjortshøj,8530,14.3,2021,2021Q1,2021-01-24,56.285,10.216
1300000,195,6,2022,villa,Sabro,8471,11.8,2021,2021Q1,2021-01-24,56.21,10.046
4198000,154,6,1979,villa,Risskov,8240,6.0,2021,2021Q1,2021-01-24,56.207,10.248
2175000,105,3,1977,villa,Hasselager,8361,10.2,2021,2021Q1,2021-01-24,56.107,10.072
13600000,209,5,1967,villa,Risskov,8240,4.7,2021,2021Q1,2021-01-24,56.192,10.251
7800000,196,3,2018,villa,Brabrand,8220,5.6,2021,2021Q1,2021-01-24,56.155,10.121
5195000,123,5,1972,townhouse,Risskov,8240,3.2,2021,2021Q1,2021-01-24,56.183,10.23
2395000,191,5,2022,villa,Mårslet,8320,11.4,2021,2021Q1,2021-01-24,56.058,10.164
9600000,202,5,1942,villa,Højbjerg,8270,5.5,2021,2021Q1,2021-01-24,56.108,10.227
2376000,191,6,1983,villa,Skødstrup,8541,13.9,2021,2021Q1,2021-01-24,56.267,10.314
3270000,129,4,2009,townhouse,Brabrand,8220,6.2,2021,2021Q1,2021-01-25,56.156,10.11
6300000,150,5,1889,townhouse,Aarhus C,8000,1.1,2021,2021Q1,2021-01-25,56.147,10.204
4107000,142,5,1960,villa,Risskov,8240,5.4,2021,2021Q1,2021-01-25,56.203,10.241
4250000,129,3,1947,villa,Mårslet,8320,10.7,2021,2021Q1,2021-01-25,56.065,10.16
3295000,81,3,1972,townhouse,Risskov,8240,3.2,2021,2021Q1,2021-01-25,56.183,10.23
3150000,126,4,1976,villa,Harlev J,8462,13.4,2021,2021Q1,2021-01-25,56.148,9.995
4595000,171,6,1968,villa,Risskov,8240,5.3,2021,2021Q1,2021-01-25,56.204,10.223
6500000,96,4,1946,villa,Aarhus N,8200,2.5,2021,2021Q1,2021-01-25,56.179,10.217
2545000,113,3,1977,townhouse,Viby J,8260,5.8,2021,2021Q1,2021-01-25,56.126,10.135
5950000,200,8,1998,villa,Risskov,8240,5.7,2021,2021Q1,2021-01-25,56.208,10.208
4575000,169,6,1969,villa,Åbyhøj,8230,3.1,2021,2021Q1,2021-01-26,56.161,10.162
3840000,133,5,2015,townhouse,Viby J,8260,7.1,2021,2021Q1,2021-01-26,56.131,10.105
4758000,144,5,1955,townhouse,Brabrand,8220,6.9,2021,2021Q1,2021-01-26,56.158,10.099
3750000,234,8,1972,villa,Beder,8330,10.8,2021,2021Q1,2021-01-26,56.06,10.211
3888000,139,5,1981,villa,Viby J,8260,5.7,2021,2021Q1,2021-01-26,56.121,10.145
3248000,134,4,2019,villa,Sabro,8471,16.3,2021,2021Q1,2021-01-26,56.223,9.975
2655000,167,5,1750,townhouse,Skødstrup,8541,13.0,2021,2021Q1,2021-01-26,56.261,10.306
5348000,204,5,2019,villa,Skødstrup,8541,14.5,2021,2021Q1,2021-01-26,56.273,10.316
6358000,186,5,1934,villa,Viby J,8260,4.1,2021,2021Q1,2021-01-26,56.126,10.174
2595000,108,4,1969,villa,Malling,8340,13.3,2021,2021Q1,2021-01-26,56.037,10.201
2500000,135,6,1978,villa,Hasselager,8361,10.4,2021,2021Q1,2021-01-26,56.106,10.069
2945000,121,5,1978,villa,Mårslet,8320,10.9,2021,2021Q1,2021-01-26,56.063,10.156
2250000,85,4,1971,townhouse,Tranbjerg J,8310,8.2,2021,2021Q1,2021-01-26,56.092,10.149
4060000,123,4,1975,villa,Aarhus N,8200,2.6,2021,2021Q1,2021-01-26,56.175,10.185
10850000,199,4,2006,villa,Højbjerg,8270,5.5,2021,2021Q1,2021-01-27,56.107,10.221
2650000,107,4,2016,townhouse,Hasselager,8361,10.8,2021,2021Q1,2021-01-27,56.107,10.062
4525000,143,6,1969,townhouse,Risskov,8240,5.0,2021,2021Q1,2021-01-27,56.201,10.222
9200000,162,4,2022,villa,Egå,8250,10.0,2021,2021Q1,2021-01-27,56.228,10.31
2900000,157,5,2009,villa,Hjortshøj,8530,15.7,2021,2021Q1,2021-01-27,56.298,10.215
3410000,130,4,2017,townhouse,Mårslet,8320,11.2,2021,2021Q1,2021-01-27,56.062,10.154
3760000,134,4,1994,villa,Lystrup,8520,9.6,2021,2021Q1,2021-01-27,56.242,10.237
4900000,195,7,1975,villa,Brabrand,8220,5.6,2021,2021Q1,2021-01-28,56.15,10.122
2075000,126,5,1963,villa,Solbjerg,8355,15.7,2021,2021Q1,2021-01-28,56.037,10.078
2627000,100,4,1973,townhouse,Tranbjerg J,8310,9.3,2021,2021Q1,2021-01-28,56.089,10.122
5510000,173,7,1967,villa,Risskov,8240,4.9,2021,2021Q1,2021-01-28,56.196,10.245
8950000,160,6,1937,townhouse,Aarhus C,8000,2.1,2021,2021Q1,2021-01-28,56.14,10.196
2620125,126,4,2021,townhouse,Solbjerg,8355,14.2,2021,2021Q1,2021-01-28,56.048,10.091
3975000,167,6,1968,villa,Aarhus V,8210,3.7,2021,2021Q1,2021-01-28,56.177,10.164
2625000,105,3,2010,townhouse,Viby J,8260,6.9,2021,2021Q1,2021-01-28,56.127,10.113
2475000,163,3,1934,townhouse,Lystrup,8520,8.4,2021,2021Q1,2021-01-28,56.232,10.229
2850000,101,4,1980,villa,Hjortshøj,8530,10.4,2021,2021Q1,2021-01-28,56.245,10.262
4612000,157,6,1917,villa,Brabrand,8220,7.0,2021,2021Q1,2021-01-28,56.153,10.098
5600000,171,6,1967,villa,Åbyhøj,8230,3.2,2021,2021Q1,2021-01-28,56.16,10.159
2575000,120,5,1961,villa,Skødstrup,8541,14.2,2021,2021Q1,2021-01-28,56.271,10.312
4850000,105,4,1955,villa,Højbjerg,8270,4.2,2021,2021Q1,2021-01-29,56.122,10.184
3498000,121,4,2012,townhouse,Aarhus N,8200,5.3,2021,2021Q1,2021-01-29,56.199,10.172
3935000,171,4,1930,townhouse,Aarhus N,8200,4.8,2021,2021Q1,2021-01-29,56.189,10.158
4650000,163,3,1949,villa,Viby J,8260,3.3,2021,2021Q1,2021-01-29,56.134,10.179
5852000,100,4,1912,villa,Viby J,8260,2.9,2021,2021Q1,2021-01-29,56.137,10.18
4000000,238,6,2023,villa,Egå,8250,9.6,2021,2021Q1,2021-01-30,56.227,10.301
1645000,88,3,1984,townhouse,Tilst,8381,7.4,2021,2021Q1,2021-01-30,56.192,10.109
3099000,122,4,2019,townhouse,Egå,8250,6.0,2021,2021Q1,2021-01-31,56.204,10.258
1695000,72,3,1971,townhouse,Tranbjerg J,8310,8.1,2021,2021Q1,2021-01-31,56.093,10.146
2095000,88,3,1981,townhouse,Tilst,8381,7.5,2021,2021Q1,2021-01-31,56.194,10.11
5295000,232,7,2000,villa,Beder,8330,10.6,2021,2021Q1,2021-01-31,56.061,10.22
3250000,120,4,1982,villa,Viby J,8260,4.9,2021,2021Q1,2021-01-31,56.128,10.151
2330000,108,5,1962,villa,Tilst,8381,8.0,2021,2021Q1,2021-01-31,56.19,10.097
3705000,105,4,1960,villa,Højbjerg,8270,3.8,2021,2021Q1,2021-01-31,56.126,10.184
3400000,260,9,1970,villa,Harlev J,8462,13.4,2021,2021Q1,2021-01-31,56.143,9.996
2754000,96,4,1999,townhouse,Lystrup,8520,9.6,2021,2021Q1,2021-01-31,56.24,10.246
8500000,267,9,1960,villa,Højbjerg,8270,5.6,2021,2021Q1,2021-01-31,56.107,10.221
4600000,125,5,1880,townhouse,Aarhus C,8000,1.0,2021,2021Q1,2021-01-31,56.15,10.2
3695000,120,3,1955,villa,Brabrand,8220,4.3,2021,2021Q1,2021-01-31,56.155,10.141
3095000,142,4,1974,villa,Tilst,8381,6.6,2021,2021Q1,2021-02-01,56.179,10.112
1750000,90,4,1985,townhouse,Solbjerg,8355,15.7,2021,2021Q1,2021-02-01,56.038,10.075
4600000,133,6,1933,villa,Åbyhøj,8230,3.5,2021,2021Q1,2021-02-01,56.157,10.155
7400000,150,4,1930,villa,Højbjerg,8270,3.7,2021,2021Q1,2021-02-01,56.125,10.195
6000000,104,4,1929,villa,Viby J,8260,4.0,2021,2021Q1,2021-02-01,56.126,10.176
3350000,154,5,1972,villa,Solbjerg,8355,15.9,2021,2021Q1,2021-02-01,56.039,10.066
2900000,136,4,1973,villa,Aarhus V,8210,3.5,2021,2021Q1,2021-02-01,56.173,10.162
8100000,210,6,1998,villa,Højbjerg,8270,5.7,2021,2021Q1,2021-02-01,56.106,10.217
5350000,177,5,1954,villa,Højbjerg,8270,4.2,2021,2021Q1,2021-02-02,56.12,10.19
3351000,139,4,2009,townhouse,Viby J,8260,6.4,2021,2021Q1,2021-02-02,56.12,10.131
2900000,116,3,1999,townhouse,Højbjerg,8270,6.4,2021,2021Q1,2021-02-02,56.099,10.22
4750000,119,4,1949,townhouse,Aarhus N,8200,2.3,2021,2021Q1,2021-02-02,56.176,10.196
2248000,90,4,1982,townhouse,Tranbjerg J,8310,8.5,2021,2021Q1,2021-02-02,56.089,10.148
3125000,101,3,1989,villa,Højbjerg,8270,5.2,2021,2021Q1,2021-02-02,56.119,10.163
6750000,157,6,1957,villa,Åbyhøj,8230,3.9,2021,2021Q1,2021-02-02,56.158,10.148
3998000,108,5,1982,villa,Egå,8250,11.2,2021,2021Q1,2021-02-02,56.235,10.325
4000000,110,4,1952,villa,Aarhus N,8200,2.6,2021,2021Q1,2021-02-02,56.179,10.218
3700000,149,5,1963,villa,Risskov,8240,5.8,2021,2021Q1,2021-02-02,56.203,10.253
2995000,139,5,1973,villa,Tilst,8381,6.7,2021,2021Q1,2021-02-02,56.177,10.11
2725000,150,5,1972,villa,Solbjerg,8355,14.6,2021,2021Q1,2021-02-02,56.044,10.089
4430000,124,5,1955,townhouse,Risskov,8240,3.9,2021,2021Q1,2021-02-02,56.192,10.219
4973000,184,6,2008,villa,Mårslet,8320,11.2,2021,2021Q1,2021-02-03,56.059,10.163
1950000,78,3,1988,townhouse,Hjortshøj,8530,10.9,2021,2021Q1,2021-02-03,56.25,10.267
1250000,164,5,2022,villa,Trige,8380,11.4,2021,2021Q1,2021-02-03,56.254,10.151
5425000,183,7,2009,villa,Viby J,8260,7.2,2021,2021Q1,2021-02-03,56.129,10.105
3600000,148,6,1971,villa,Harlev J,8462,12.9,2021,2021Q1,2021-02-03,56.145,10.003
7350000,170,6,1997,villa,Højbjerg,8270,5.5,2021,2021Q1,2021-02-03,56.107,10.215
5250000,182,5,1980,townhouse,Højbjerg,8270,5.2,2021,2021Q1,2021-02-03,56.11,10.214
3325000,135,5,1905,villa,Brabrand,8220,6.8,2021,2021Q1,2021-02-03,56.153,10.101
4350000,105,4,1983,villa,Højbjerg,8270,4.9,2021,2021Q1,2021-02-03,56.113,10.204
2965000,127,4,1972,villa,Skødstrup,8541,12.8,2021,2021Q1,2021-02-03,56.261,10.296
4995000,153,5,1998,villa,Aarhus N,8200,5.0,2021,2021Q1,2021-02-03,56.2,10.189
2199000,214,7,1972,villa,Hjortshøj,8530,15.8,2021,2021Q1,2021-02-03,56.299,10.214
4100000,150,5,2019,townhouse,Brabrand,8220,7.4,2021,2021Q1,2021-02-04,56.156,10.092
4425000,184,5,2018,villa,Trige,8380,15.3,2021,2021Q1,2021-02-04,56.291,10.152
1016299,185,5,2022,villa,Sabro,8471,16.4,2021,2021Q1,2021-02-04,56.224,9.975
4950000,232,5,2016,villa,Mårslet,8320,9.0,2021,2021Q1,2021-02-04,56.083,10.15
4600000,197,6,2007,villa,Brabrand,8220,7.3,2021,2021Q1,2021-02-04,56.158,10.092
4100000,133,4,2006,townhouse,Brabrand,8220,7.5,2021,2021Q1,2021-02-04,56.158,10.09
3400000,152,5,1974,villa,Skødstrup,8541,13.7,2021,2021Q1,2021-02-04,56.267,10.307
4523000,174,5,2010,villa,Malling,8340,14.1,2021,2021Q1,2021-02-04,56.03,10.189
4350000,143,5,1978,townhouse,Risskov,8240,4.8,2021,2021Q1,2021-02-04,56.199,10.22
4295000,179,6,1979,villa,Mårslet,8320,11.0,2021,2021Q1,2021-02-04,56.061,10.162
6400000,199,8,1990,villa,Egå,8250,6.5,2021,2021Q1,2021-02-04,56.204,10.272
2649000,80,4,1987,townhouse,Aarhus N,8200,3.8,2021,2021Q1,2021-02-04,56.189,10.194
5050000,218,7,1938,villa,Risskov,8240,5.3,2021,2021Q1,2021-02-04,56.2,10.248
5100000,194,5,2022,villa,Risskov,8240,4.8,2021,2021Q1,2021-02-04,56.195,10.243
3625000,138,5,1967,villa,Højbjerg,8270,6.3,2021,2021Q1,2021-02-04,56.1,10.209
2780000,140,5,2013,townhouse,Hasselager,8361,8.7,2021,2021Q1,2021-02-05,56.113,10.095
3445000,204,5,2023,villa,Egå,8250,11.0,2021,2021Q1,2021-02-06,56.233,10.324
3848000,138,4,1981,townhouse,Egå,8250,6.2,2021,2021Q1,2021-02-06,56.205,10.261
3798000,105,4,1925,villa,Aarhus V,8210,3.1,2021,2021Q1,2021-02-06,56.169,10.167
2448000,102,3,1984,townhouse,Aarhus V,8210,5.6,2021,2021Q1,2021-02-06,56.178,10.128
2148000,133,5,1966,villa,Solbjerg,8355,15.2,2021,2021Q1,2021-02-06,56.037,10.09
4252000,148,6,2020,townhouse,Risskov,8240,4.4,2021,2021Q1,2021-02-07,56.196,10.207
