date,close
2024-01-02,162.2783
2024-01-03,161.571
2024-01-04,162.6432
2024-01-05,163.4592
2024-01-08,163.222
2024-01-09,161.9316
2024-01-10,162.2732
2024-01-11,161.59
2024-01-12,160.4039
2024-01-16,159.3981
2024-01-17,158.5442
2024-01-18,158.8573
2024-01-19,161.5995
2024-01-22,161.4097
2024-01-23,160.347
2024-01-24,161.7798
2024-01-25,164.095
2024-01-26,163.4687
2024-01-29,163.8957
2024-01-30,167.2546
2024-01-31,165.4423
2024-02-01,164.8446
2024-02-02,165.7934
2024-02-05,165.5752
2024-02-06,166.1445
2024-02-07,166.4576
2024-02-08,165.8598
2024-02-09,166.0591
2024-02-12,166.7992
2024-02-13,165.3474
2024-02-14,167.0269
2024-02-15,170.6705
2024-02-16,169.8735
2024-02-20,170.5377
2024-02-21,171.6479
2024-02-22,173.7069
2024-02-23,174.5798
2024-02-26,173.982
2024-02-27,174.0674
2024-02-28,174.9499
2024-02-29,176.5439
2024-03-01,175.8133
2024-03-04,177.1322
2024-03-05,178.9066
2024-03-06,179.8365
2024-03-07,178.2614
2024-03-08,178.5935
2024-03-11,178.6599
2024-03-12,180.1306
2024-03-13,181.5918
2024-03-14,178.3563
2024-03-15,180.5671
2024-03-18,182.8064
2024-03-19,183.8786
2024-03-20,186.2887
2024-03-21,188.879
2024-03-22,186.5638
2024-03-25,184.8559
2024-03-26,185.7194
2024-03-27,189.3155
2024-03-28,190.0556
2024-04-01,188.7652
2024-04-02,188.6893
2024-04-03,188.1579
2024-04-04,186.7263
2024-04-05,188.4442
2024-04-08,189.4273
2024-04-09,188.1579
2024-04-10,186.5545
2024-04-11,186.5163
2024-04-12,174.4529
2024-04-15,174.5483
2024-04-16,172.5536
2024-04-17,171.8665
2024-04-18,172.9831
2024-04-19,177.3256
2024-04-22,180.7709
2024-04-23,183.3764
2024-04-24,184.2736
2024-04-25,184.5503
2024-04-26,184.6648
2024-04-29,184.4644
2024-04-30,182.9947
2024-05-01,183.1092
2024-05-02,182.9183
2024-05-03,181.8208
2024-05-06,183.2428
2024-05-07,183.0042
2024-05-08,186.7263
2024-05-09,188.492
2024-05-10,189.704
2024-05-13,189.6659
2024-05-14,192.319
2024-05-15,192.8917
2024-05-16,193.2353
2024-05-17,195.4494
2024-05-20,186.6595
2024-05-21,190.4198
2024-05-22,189.265
2024-05-23,187.9384
2024-05-24,191.5555
2024-05-28,190.4007
2024-05-29,189.0742
2024-05-30,190.2385
2024-05-31,193.388
2024-06-03,192.6149
2024-06-04,190.0763
2024-06-05,188.2629
2024-06-06,187.9288
2024-06-07,190.8302
2024-06-10,190.5057
2024-06-11,185.4952
2024-06-12,182.7943
2024-06-13,184.8271
2024-06-14,184.9416
2024-06-17,186.0869
2024-06-18,188.0148
2024-06-20,189.6086
2024-06-21,187.3467
2024-06-24,189.809
2024-06-25,189.036
2024-06-26,188.4251
2024-06-27,190.0858
2024-06-28,193.0348
2024-07-01,196.0793
2024-07-02,199.3052
2024-07-03,199.1716
2024-07-05,196.5325
