date,ticker,close,volume
2015-01-02,AAPL,24.1926,212818400
2015-01-05,AAPL,23.5111,257142000
2015-01-06,AAPL,23.5133,263188400
2015-01-07,AAPL,23.8430,160423600
2015-01-08,AAPL,24.7591,237458000
2015-01-09,AAPL,24.7856,214798000
2015-01-12,AAPL,24.1749,198603200
2015-01-13,AAPL,24.3895,268367600
2015-01-14,AAPL,24.2966,195826400
2015-01-15,AAPL,23.6372,240056000
2015-01-16,AAPL,23.4535,314053200
2015-01-20,AAPL,24.0576,199599600
2015-01-21,AAPL,24.2413,194303600
2015-01-22,AAPL,24.8719,215185600
2015-01-23,AAPL,25.0003,185859200
2015-01-26,AAPL,25.0268,222460000
2015-01-27,AAPL,24.1506,382274800
2015-01-28,AAPL,25.5159,585908400
2015-01-29,AAPL,26.3103,337745600
2015-01-30,AAPL,25.9252,334982000
2015-02-02,AAPL,26.2505,250956400
2015-02-03,AAPL,26.2549,207662800
2015-02-04,AAPL,26.4563,280598800
2015-02-05,AAPL,26.6451,168984800
2015-02-06,AAPL,26.4208,174826400
2015-02-09,AAPL,26.5963,155559200
2015-02-10,AAPL,27.1072,248034000
2015-02-11,AAPL,27.7426,294247200
2015-02-12,AAPL,28.0936,297898000
2015-02-13,AAPL,28.2313,217088800
2015-02-17,AAPL,28.3979,252609600
2015-02-18,AAPL,28.5957,179566800
2015-02-19,AAPL,28.5357,149449600
2015-02-20,AAPL,28.7689,195793600
2015-02-23,AAPL,29.5465,283896400
2015-02-24,AAPL,29.3621,276912400
2015-02-25,AAPL,28.6112,298846800
2015-02-26,AAPL,28.9733,365150000
2015-02-27,AAPL,28.5379,248059200
2015-03-02,AAPL,28.6778,192386800
2015-03-03,AAPL,28.7378,151265200
2015-03-04,AAPL,28.5557,126665200
2015-03-05,AAPL,28.0825,226068400
2015-03-06,AAPL,28.1247,291368400
2015-03-09,AAPL,28.2446,354114000
2015-03-10,AAPL,27.6604,275426400
2015-03-11,AAPL,27.1561,275756000
2015-03-12,AAPL,27.6470,193450800
2015-03-13,AAPL,27.4560,207309200
2015-03-16,AAPL,27.7581,143497200
2015-03-17,AAPL,28.2224,204092400
2015-03-18,AAPL,28.5401,261083600
2015-03-19,AAPL,28.3246,183238000
2015-03-20,AAPL,27.9692,274780400
2015-03-23,AAPL,28.2602,150838800
2015-03-24,AAPL,28.1447,131369200
2015-03-25,AAPL,27.4093,206620800
2015-03-26,AAPL,27.6004,190291600
2015-03-27,AAPL,27.3805,158184800
2015-03-30,AAPL,28.0736,188398800
2015-03-31,AAPL,27.6426,168362400
2015-04-01,AAPL,27.6026,162485600
2015-04-02,AAPL,27.8403,128880400
2015-04-06,AAPL,28.2913,148776000
2015-04-07,AAPL,27.9936,140049200
2015-04-08,AAPL,27.9025,149316800
2015-04-09,AAPL,28.1158,129936000
2015-04-10,AAPL,28.2358,160752000
2015-04-13,AAPL,28.1802,145460400
2015-04-14,AAPL,28.0580,102098400
2015-04-15,AAPL,28.1647,115881600
2015-04-16,AAPL,28.0291,113476000
2015-04-17,AAPL,27.7137,207828000
2015-04-20,AAPL,28.3468,188217200
2015-04-21,AAPL,28.1936,129740400
2015-04-22,AAPL,28.5734,150618000
2015-04-23,AAPL,28.8067,183083600
2015-04-24,AAPL,28.9422,178103600
2015-04-27,AAPL,29.4687,387816800
2015-04-28,AAPL,29.0044,475696000
2015-04-29,AAPL,28.5779,253544400
2015-04-30,AAPL,27.8026,332781600
2015-05-01,AAPL,28.6467,234050400
2015-05-04,AAPL,28.5912,203953200
2015-05-05,AAPL,27.9470,197085600
2015-05-06,AAPL,27.7715,288564000
2015-05-07,AAPL,27.9432,175763600
2015-05-08,AAPL,28.4697,222201600
2015-05-11,AAPL,28.1797,168143200
2015-05-12,AAPL,28.0793,192640000
2015-05-13,AAPL,28.1105,138776800
2015-05-14,AAPL,28.7664,180814000
2015-05-15,AAPL,28.7262,152832000
2015-05-18,AAPL,29.0430,203531600
2015-05-19,AAPL,29.0163,178532800
2015-05-20,AAPL,29.0140,145819600
2015-05-21,AAPL,29.3107,158921600
2015-05-22,AAPL,29.5673,182384000
2015-05-26,AAPL,28.9159,282790400
2015-05-27,AAPL,29.4557,183332800
2015-05-28,AAPL,29.3977,122933200
2015-05-29,AAPL,29.0631,203538000
2015-06-01,AAPL,29.1211,128451200
2015-06-02,AAPL,28.9917,134670400
2015-06-03,AAPL,29.0274,123934000
2015-06-04,AAPL,28.8579,153800400
2015-06-05,AAPL,28.6995,142507200
2015-06-08,AAPL,28.5099,210699200
2015-06-09,AAPL,28.4251,224301600
2015-06-10,AAPL,28.7508,156349200
2015-06-11,AAPL,28.6861,141563600
2015-06-12,AAPL,28.3693,147544800
2015-06-15,AAPL,28.3135,175955600
2015-06-16,AAPL,28.4652,125976400
2015-06-17,AAPL,28.3983,131672400
2015-06-18,AAPL,28.5277,141628800
2015-06-19,AAPL,28.2422,218867600
2015-06-22,AAPL,28.4675,136157200
2015-06-23,AAPL,28.3381,121075600
2015-06-24,AAPL,28.5790,221123600
2015-06-25,AAPL,28.4429,127752400
2015-06-26,AAPL,28.2756,176267200
2015-06-29,AAPL,27.7804,196645600
2015-06-30,AAPL,27.9812,177482800
2015-07-01,AAPL,28.2422,120955200
2015-07-02,AAPL,28.2065,108844000
2015-07-06,AAPL,28.1083,112241600
2015-07-07,AAPL,28.0392,187787200
2015-07-08,AAPL,27.3431,243046400
2015-07-09,AAPL,26.7854,314380000
2015-07-10,AAPL,27.5015,245418000
2015-07-13,AAPL,28.0325,165762000
2015-07-14,AAPL,28.0213,127072400
2015-07-15,AAPL,28.2912,134596800
2015-07-16,AAPL,28.6682,144889600
2015-07-17,AAPL,28.9159,184658800
2015-07-20,AAPL,29.4624,235600800
2015-07-21,AAPL,29.1679,307025600
