date,vol_5d,vol_10d,vol_20d,vol_40d,vol_60d,vol_120d,ret_5d,ret_20d,ret_60d,AAPL_vol,MSFT_vol,NVDA_vol,JPM_vol,KO_vol,PG_vol,XOM_vol,JNJ_vol,WMT_vol,DIS_vol,vol_next
2015-06-25,0.48105152663383144,0.6006905766913544,0.5805834722220631,0.6363700578732024,0.5896625869686211,0.7501100340817707,-0.17823136706806908,-0.03569881335932945,0.03726757640626429,0.6549430013689042,0.9397006787469172,1.4619388599907202,0.8749509578065424,0.5957939691873702,0.8099829993002466,0.5970446903126128,0.685553273594363,0.6028158639062959,0.7180513229136201,0.8463791318500459
2015-06-26,0.45942768915207366,0.5433004441577102,0.5639937455697678,0.6150833776766639,0.5874811135419675,0.7308816603562753,-0.09325518072220484,-0.005585866182590826,0.042844405252699946,0.6225857226459014,0.9205609304059079,1.5163683076086667,0.8546708527918675,0.5903489121631122,0.7604366425900545,0.5956421059113293,0.6646582798004077,0.6002076926650171,0.7167498690623644,0.8549166191565918
2015-06-29,0.8847505979332821,0.8646402119338964,0.7294387961286106,0.6777887791458664,0.6475658710182627,0.7512876445338879,-0.6151272597208668,-0.12062303942880381,0.0018982036022267372,0.7135279551852955,0.9741436077544454,1.5888225381603156,1.0537244300848125,0.6705765985505822,0.8064232352531054,0.6499112051128392,0.7944854299309773,0.5989573391390598,0.8270817531450311,0.7575965715626994
2015-06-30,0.9133173565772189,0.841901388704289,0.7331698473361449,0.6769408717424829,0.642158896657441,0.7431435436683684,-0.5874136548329756,-0.10518925567107817,-0.005835226435606152,0.7424718225920919,0.9717721877997706,1.5545271391070332,1.0656042330741033,0.6702582698217104,0.8021533153875096,0.6627971328542593,0.7947280450585301,0.6077942556631617,0.8460931721035302,0.7688049242953886
2015-07-01,1.0931129959965467,0.8918610708310594,0.7568603054174252,0.6661635643245875,0.6495842089416476,0.7290688122317287,-0.2818494307560626,-0.0783628936745756,0.011933703482277513,0.7806499292349358,0.9958824606109709,1.599654042177891,1.0694703706039923,0.6966579290417337,0.908700664457729,0.6915579962743948,0.8350833124528362,0.6867941766708595,0.8939147774314953,0.7520579877595626
2015-07-02,1.0961605267573813,0.7986970984971857,0.7351508004958083,0.6630378976745919,0.6482984943556543,0.7252442984070204,-0.23935291658829572,-0.040706971084356613,0.004780111146748996,0.7734453522186328,0.978733308463469,1.5264374263246085,1.0795750076300907,0.6843521097244499,0.8983582310691968,0.7110388121790162,0.8146031058308886,0.6621196545995776,0.867577708103384,0.7529100417912975
2015-07-06,1.0892282166985885,0.7950667071924742,0.7366448052446611,0.6614431964324413,0.6467734909360936,0.7220072202989505,-0.292465603667349,-0.04637039327484438,-0.007335419552650935,0.7687551554180795,0.977549001465499,1.5122015295697173,1.0215292895910277,0.6329943633340589,0.8645161295263727,0.7257263833309126,0.8037025913917794,0.6279594554919075,0.8699402615734421,0.7543396879679953
2015-07-07,0.46146529367827027,0.8073182764964952,0.7386191543156178,0.6344190464274952,0.6480665186146862,0.7235216367879385,0.2527275310905841,0.01582194263463621,-0.005949501618995508,0.7583936062698793,0.963630676680324,1.4895872604791462,1.0215676830125142,0.7946808867600368,0.9648114702985412,0.7130889002479593,0.8063529774892902,0.7260453694120182,0.8467523216881567,0.7450279693495919
2015-07-08,0.982885916260869,0.9271304945745271,0.830167494108352,0.6827302916082152,0.6808510464842026,0.7379803645991575,-0.12468897950501656,-0.06734333671055082,-0.02637307650715977,0.929415580102877,0.9636267532446542,1.473195881585115,1.1166472033063313,0.8268302710270699,0.9483572826705696,0.7445437289213646,0.8487368256908474,0.7628658009263849,0.9303310510870374,0.6281678003384414
2015-07-09,0.8692977018013803,0.9312491715849914,0.7779778249769468,0.6826161083888441,0.6807956859382311,0.7329961575275206,-0.24882149891176653,-0.1182655877925215,-0.026547451116281467,0.9609094410084785,0.8292494991310314,1.4532611282492551,1.0776373547672247,0.8241950677062175,0.9417571582720592,0.7160385560567624,0.8471287889441644,0.7552787339198866,0.8982360614759198,0.6631689412595356
