date,close
2024-01-02,148.804
2024-01-03,149.7342
2024-01-04,149.4179
2024-01-05,149.883
2024-01-08,150.2551
2024-01-09,150.3481
2024-01-10,150.5714
2024-01-11,149.9016
2024-01-12,151.0551
2024-01-16,149.3156
2024-01-17,149.2318
2024-01-18,149.9574
2024-01-19,150.3946
2024-01-22,151.1295
2024-01-23,148.6551
2024-01-24,147.8645
2024-01-25,148.4226
2024-01-26,148.3668
2024-01-29,148.2366
2024-01-30,147.6878
2024-01-31,147.8087
2024-02-01,147.3064
2024-02-02,145.6785
2024-02-05,144.925
2024-02-06,147.0273
2024-02-07,146.9529
2024-02-08,145.4832
2024-02-09,145.8181
2024-02-12,146.832
2024-02-13,145.5483
2024-02-14,144.8692
2024-02-15,146.8971
2024-02-16,146.7284
2024-02-20,147.9562
2024-02-21,148.7247
2024-02-22,150.3837
2024-02-23,151.6865
2024-02-26,150.7023
2024-02-27,150.8804
2024-02-28,151.4147
2024-02-29,151.2554
2024-03-01,151.9489
2024-03-04,149.812
2024-03-05,149.9338
2024-03-06,149.3433
2024-03-07,148.9028
2024-03-08,149.5121
2024-03-11,151.1147
2024-03-12,152.53
2024-03-13,150.9929
2024-03-14,149.2215
2024-03-15,148.2561
2024-03-18,146.9252
2024-03-19,146.4097
2024-03-20,145.9879
2024-03-21,145.9785
2024-03-22,145.4912
2024-03-25,145.4818
2024-03-26,145.9973
2024-03-27,148.0499
2024-03-28,148.2655
2024-04-01,147.8812
2024-04-02,147.8343
2024-04-03,144.582
2024-04-04,142.9324
2024-04-05,142.8294
2024-04-08,142.0796
2024-04-09,142.7356
2024-04-10,140.7768
2024-04-11,139.4552
2024-04-12,138.2649
2024-04-15,138.3305
2024-04-16,135.3875
2024-04-17,135.6874
2024-04-18,136.5966
2024-04-19,138.6304
2024-04-22,139.7645
2024-04-23,140.1769
2024-04-24,139.2115
2024-04-25,137.6088
2024-04-26,136.9715
2024-04-29,137.6088
2024-04-30,135.5187
2024-05-01,141.6953
2024-05-02,140.5143
2024-05-03,139.9051
2024-05-06,139.2584
2024-05-07,139.3896
2024-05-08,139.6052
2024-05-09,140.4487
2024-05-10,140.505
2024-05-13,141.7328
2024-05-14,141.8827
2024-05-15,143.0918
